ACTO,CONVOCATORIA,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,4,CAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,5,CAA,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,7,CAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,8,CAA,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,11,CAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,14,CAA,Departamental,969,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,17,CAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,22,CAA,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,47,CAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,56,CBA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,67,CBA,Departamental,969,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,70,CBA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,87,CBA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,89,CBA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,94,CCA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,113,CDA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,115,CDA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,122,CDA,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,123,CDA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,124,CDA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,126,CDA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,129,CDA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,137,CDA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,139,CDA,Departamental,969,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,144,CDA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,159,CDA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,166,CDA,Departamental,1326,3
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,170,CDA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,174,CDA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,205,CDA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,213,CDB,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,226,CDB,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,228,CDB,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,235,CDB,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,238,CDB,Departamental,969,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,242,CDB,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,243,CDC,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,243,CDC,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,245,CDC,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,248,CDC,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,251,CDC,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,260,CDC,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,265,CDC,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,276,CDD,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,283,CDD,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,305,CDE,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,306,CDE,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,310,CDE,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,320,CEA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,322,CEA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,327,CEA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,331,CEA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,334,CEA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,335,CEA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,335,CEA,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,350,CEA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,351,CEA,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,357,CEA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,368,CFA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,376,CFA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,381,CFA,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,391,CFA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,412,CHA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,422,CIA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,439,CJA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,456,CJA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,461,CKA,Departamental,969,1
