ACTO,PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS
2024-06-30,Asamblea Popular,Colonia,6,NAB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,11,NAB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,13,NAB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,16,NAB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,47,NAD,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,78,NCB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,102,NDB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,107,NDB,Departamental,1326,2
2024-06-30,Asamblea Popular,Colonia,109,NDB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,170,NHB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,172,NHB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,174,NHB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,175,NHB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,182,NHB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,183,NHB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,187,NHB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,188,NHB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,192,NHB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,193,NHB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,194,NHB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,202,NHB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,211,NIB,Departamental,1326,2
2024-06-30,Asamblea Popular,Colonia,212,NIB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,213,NIB,Departamental,1326,3
2024-06-30,Asamblea Popular,Colonia,215,NIB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,216,NIB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,218,NIB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,220,NIB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,221,NIB,Departamental,1326,3
2024-06-30,Asamblea Popular,Colonia,222,NIB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,223,NIB,Departamental,1326,3
2024-06-30,Asamblea Popular,Colonia,224,NIB,Departamental,1326,1
2024-06-30,Asamblea Popular,Colonia,246,NKC,Departamental,1326,2
2024-06-30,Asamblea Popular,Colonia,9001,NZZ,Departamental,1326,3
2024-06-30,Asamblea Popular,Colonia,9004,NZZ,Departamental,1326,1
2024-06-30,Avanzar Republicano,Colonia,166,NHB,Departamental,947,1
2024-06-30,Avanzar Republicano,Colonia,169,NHB,Departamental,947,1
2024-06-30,Avanzar Republicano,Colonia,170,NHB,Departamental,947,1
2024-06-30,Avanzar Republicano,Colonia,172,NHB,Departamental,947,2
2024-06-30,Avanzar Republicano,Colonia,174,NHB,Departamental,947,1
2024-06-30,Avanzar Republicano,Colonia,184,NHB,Departamental,947,1
2024-06-30,Avanzar Republicano,Colonia,187,NHB,Departamental,947,4
2024-06-30,Avanzar Republicano,Colonia,188,NHB,Departamental,947,3
2024-06-30,Avanzar Republicano,Colonia,190,NHB,Departamental,947,1
2024-06-30,Avanzar Republicano,Colonia,191,NHB,Departamental,947,2
2024-06-30,Avanzar Republicano,Colonia,195,NHB,Departamental,947,2
2024-06-30,Avanzar Republicano,Colonia,198,NHB,Departamental,947,1
2024-06-30,Avanzar Republicano,Colonia,199,NHB,Departamental,947,1
2024-06-30,Avanzar Republicano,Colonia,202,NHB,Departamental,947,1
2024-06-30,Avanzar Republicano,Colonia,208,NIB,Departamental,947,1
2024-06-30,Avanzar Republicano,Colonia,209,NIB,Departamental,947,3
