PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS
Asamblea Popular,Treinta y Tres,6,FAA,Departamental,1326,1
Asamblea Popular,Treinta y Tres,7,FAA,Departamental,1326,1
Asamblea Popular,Treinta y Tres,10,FAA,Departamental,1326,1
Asamblea Popular,Treinta y Tres,16,FAA,Departamental,1326,1
Asamblea Popular,Treinta y Tres,22,FAA,Departamental,1326,1
Asamblea Popular,Treinta y Tres,30,FAA,Departamental,1326,1
Asamblea Popular,Treinta y Tres,122,FEF,Departamental,1326,1
Cabildo Abierto,Treinta y Tres,1,FAA,Departamental,56,5
Cabildo Abierto,Treinta y Tres,2,FAA,Departamental,56,3
Cabildo Abierto,Treinta y Tres,3,FAA,Departamental,56,2
Cabildo Abierto,Treinta y Tres,4,FAA,Departamental,56,2
Cabildo Abierto,Treinta y Tres,5,FAA,Departamental,12,1
Cabildo Abierto,Treinta y Tres,5,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,6,FAA,Departamental,56,2
Cabildo Abierto,Treinta y Tres,7,FAA,Departamental,12,1
Cabildo Abierto,Treinta y Tres,8,FAA,Departamental,12,2
Cabildo Abierto,Treinta y Tres,8,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,9,FAA,Departamental,12,1
Cabildo Abierto,Treinta y Tres,9,FAA,Departamental,488,1
Cabildo Abierto,Treinta y Tres,10,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,11,FAA,Departamental,12,1
Cabildo Abierto,Treinta y Tres,12,FAA,Departamental,12,1
Cabildo Abierto,Treinta y Tres,13,FAA,Departamental,56,3
Cabildo Abierto,Treinta y Tres,14,FAA,Departamental,12,1
Cabildo Abierto,Treinta y Tres,15,FAA,Departamental,12,1
Cabildo Abierto,Treinta y Tres,15,FAA,Departamental,56,4
Cabildo Abierto,Treinta y Tres,16,FAA,Departamental,12,2
Cabildo Abierto,Treinta y Tres,16,FAA,Departamental,56,2
Cabildo Abierto,Treinta y Tres,17,FAA,Departamental,56,3
Cabildo Abierto,Treinta y Tres,18,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,19,FAA,Departamental,56,4
Cabildo Abierto,Treinta y Tres,20,FAA,Departamental,56,3
Cabildo Abierto,Treinta y Tres,22,FAA,Departamental,56,2
Cabildo Abierto,Treinta y Tres,24,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,25,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,26,FAA,Departamental,56,2
Cabildo Abierto,Treinta y Tres,28,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,28,FAA,Departamental,488,1
Cabildo Abierto,Treinta y Tres,29,FAA,Departamental,56,3
Cabildo Abierto,Treinta y Tres,29,FAA,Departamental,488,1
Cabildo Abierto,Treinta y Tres,31,FAA,Departamental,12,1
Cabildo Abierto,Treinta y Tres,31,FAA,Departamental,56,3
Cabildo Abierto,Treinta y Tres,32,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,34,FAA,Departamental,56,2
Cabildo Abierto,Treinta y Tres,35,FAA,Departamental,12,1
Cabildo Abierto,Treinta y Tres,35,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,36,FAA,Departamental,12,1
Cabildo Abierto,Treinta y Tres,36,FAA,Departamental,56,3
Cabildo Abierto,Treinta y Tres,37,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,38,FAA,Departamental,12,1
Cabildo Abierto,Treinta y Tres,38,FAA,Departamental,488,1
Cabildo Abierto,Treinta y Tres,39,FAA,Departamental,12,3
Cabildo Abierto,Treinta y Tres,39,FAA,Departamental,56,2
Cabildo Abierto,Treinta y Tres,40,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,41,FAA,Departamental,12,1
Cabildo Abierto,Treinta y Tres,42,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,43,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,45,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,46,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,48,FAA,Departamental,12,1
Cabildo Abierto,Treinta y Tres,48,FAA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,49,FAB,Departamental,56,1
Cabildo Abierto,Treinta y Tres,51,FAC,Departamental,56,5
Cabildo Abierto,Treinta y Tres,53,FAC,Departamental,56,2
Cabildo Abierto,Treinta y Tres,54,FAD,Departamental,56,2
Cabildo Abierto,Treinta y Tres,55,FAD,Departamental,56,2
Cabildo Abierto,Treinta y Tres,56,FAE,Departamental,12,1
Cabildo Abierto,Treinta y Tres,56,FAE,Departamental,56,4
Cabildo Abierto,Treinta y Tres,57,FAE,Departamental,12,1
Cabildo Abierto,Treinta y Tres,58,FAE,Departamental,56,1
Cabildo Abierto,Treinta y Tres,59,FAF,Departamental,56,1
Cabildo Abierto,Treinta y Tres,60,FAF,Departamental,12,1
Cabildo Abierto,Treinta y Tres,61,FBA,Departamental,56,6
Cabildo Abierto,Treinta y Tres,63,FBA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,64,FBA,Departamental,56,2
Cabildo Abierto,Treinta y Tres,65,FBA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,66,FBA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,68,FBA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,69,FBA,Departamental,56,3
Cabildo Abierto,Treinta y Tres,70,FBA,Departamental,488,1
Cabildo Abierto,Treinta y Tres,71,FBB,Departamental,56,1
Cabildo Abierto,Treinta y Tres,73,FBC,Departamental,56,1
Cabildo Abierto,Treinta y Tres,74,FBC,Departamental,56,1
Cabildo Abierto,Treinta y Tres,76,FBC,Departamental,56,2
Cabildo Abierto,Treinta y Tres,77,FBD,Departamental,56,3
Cabildo Abierto,Treinta y Tres,78,FBE,Departamental,56,9
Cabildo Abierto,Treinta y Tres,79,FBE,Departamental,56,5
Cabildo Abierto,Treinta y Tres,79,FBE,Departamental,488,1
Cabildo Abierto,Treinta y Tres,80,FBE,Departamental,56,9
Cabildo Abierto,Treinta y Tres,80,FBE,Departamental,488,1
Cabildo Abierto,Treinta y Tres,81,FBF,Departamental,56,2
Cabildo Abierto,Treinta y Tres,87,FCE,Departamental,56,1
Cabildo Abierto,Treinta y Tres,89,FDA,Departamental,488,2
Cabildo Abierto,Treinta y Tres,90,FDA,Departamental,488,9
Cabildo Abierto,Treinta y Tres,91,FDA,Departamental,488,5
Cabildo Abierto,Treinta y Tres,92,FDA,Departamental,12,1
Cabildo Abierto,Treinta y Tres,92,FDA,Departamental,488,8
Cabildo Abierto,Treinta y Tres,93,FDA,Departamental,488,5
Cabildo Abierto,Treinta y Tres,94,FDA,Departamental,488,5
Cabildo Abierto,Treinta y Tres,96,FDA,Departamental,488,4
Cabildo Abierto,Treinta y Tres,97,FDB,Departamental,56,1
Cabildo Abierto,Treinta y Tres,98,FDB,Departamental,488,1
Cabildo Abierto,Treinta y Tres,103,FDB,Departamental,56,1
Cabildo Abierto,Treinta y Tres,106,FDD,Departamental,56,1
Cabildo Abierto,Treinta y Tres,107,FDE,Departamental,56,5
Cabildo Abierto,Treinta y Tres,109,FEA,Departamental,56,1
Cabildo Abierto,Treinta y Tres,110,FEA,Departamental,12,1
Cabildo Abierto,Treinta y Tres,112,FEA,Departamental,56,2
Cabildo Abierto,Treinta y Tres,113,FEB,Departamental,56,2
Cabildo Abierto,Treinta y Tres,117,FEF,Departamental,12,2
Cabildo Abierto,Treinta y Tres,117,FEF,Departamental,56,5
Cabildo Abierto,Treinta y Tres,118,FEF,Departamental,56,2
Cabildo Abierto,Treinta y Tres,119,FEF,Departamental,56,2
Cabildo Abierto,Treinta y Tres,119,FEF,Departamental,488,1
Cabildo Abierto,Treinta y Tres,120,FEF,Departamental,12,1
Cabildo Abierto,Treinta y Tres,120,FEF,Departamental,56,3
Cabildo Abierto,Treinta y Tres,121,FEF,Departamental,12,1
