ACTO,CONVOCATORIA,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS
2024-06-30,Asamblea_Popular_-_O.D.N.,Treinta y Tres,6,FAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1
2024-06-30,Asamblea_Popular_-_O.D.N.,Treinta y Tres,7,FAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1
2024-06-30,Asamblea_Popular_-_O.D.N.,Treinta y Tres,10,FAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1
2024-06-30,Asamblea_Popular_-_O.D.N.,Treinta y Tres,16,FAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1
2024-06-30,Asamblea_Popular_-_O.D.N.,Treinta y Tres,22,FAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1
2024-06-30,Asamblea_Popular_-_O.D.N.,Treinta y Tres,30,FAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1
2024-06-30,Asamblea_Popular_-_O.D.N.,Treinta y Tres,122,FEF,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1
2024-06-30,Avanzar_Republicano_O.D.N.,Treinta y Tres,4,FAA,Departamental,"PEREZ BANCHERO, Felipe Martin",937,1
2024-06-30,Avanzar_Republicano_O.D.N.,Treinta y Tres,21,FAA,Departamental,"PEREZ BANCHERO, Felipe Martin",937,1
2024-06-30,Avanzar_Republicano_O.D.N.,Treinta y Tres,25,FAA,Departamental,"PEREZ BANCHERO, Felipe Martin",937,1
2024-06-30,Avanzar_Republicano_O.D.N.,Treinta y Tres,46,FAA,Departamental,"PEREZ BANCHERO, Felipe Martin",937,1
2024-06-30,Basta_Ya_O.D.N.,Treinta y Tres,12,FAA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1
2024-06-30,Basta_Ya_O.D.N.,Treinta y Tres,21,FAA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1
2024-06-30,Basta_Ya_O.D.N.,Treinta y Tres,22,FAA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1
2024-06-30,Basta_Ya_O.D.N.,Treinta y Tres,23,FAA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1
2024-06-30,Basta_Ya_O.D.N.,Treinta y Tres,25,FAA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1
2024-06-30,Basta_Ya_O.D.N.,Treinta y Tres,30,FAA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1
2024-06-30,Basta_Ya_O.D.N.,Treinta y Tres,60,FAF,Departamental,"BONICA SIERRA, Jorge Enrique",39,1
2024-06-30,Basta_Ya_O.D.N.,Treinta y Tres,109,FEA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1
2024-06-30,Basta_Ya_O.D.N.,Treinta y Tres,117,FEF,Departamental,"BONICA SIERRA, Jorge Enrique",39,1
2024-06-30,Basta_Ya_O.D.N.,Treinta y Tres,122,FEF,Departamental,"BONICA SIERRA, Jorge Enrique",39,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,1,FAA,Departamental,"MANINI STRATTA, Guido",456,5
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,2,FAA,Departamental,"MANINI STRATTA, Guido",456,3
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,3,FAA,Departamental,"MANINI STRATTA, Guido",456,2
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,4,FAA,Departamental,"MANINI STRATTA, Guido",456,2
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,5,FAA,Departamental,"MANINI STRATTA, Guido",456,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,5,FAA,Departamental,"MANINI STRATTA, Guido",7001,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,6,FAA,Departamental,"MANINI STRATTA, Guido",456,2
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,7,FAA,Departamental,"MANINI STRATTA, Guido",7001,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,8,FAA,Departamental,"MANINI STRATTA, Guido",456,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,8,FAA,Departamental,"MANINI STRATTA, Guido",7001,2
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,9,FAA,Departamental,"MANINI STRATTA, Guido",288,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,9,FAA,Departamental,"MANINI STRATTA, Guido",7001,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,10,FAA,Departamental,"MANINI STRATTA, Guido",456,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,11,FAA,Departamental,"MANINI STRATTA, Guido",7001,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,12,FAA,Departamental,"MANINI STRATTA, Guido",7001,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,13,FAA,Departamental,"MANINI STRATTA, Guido",456,3
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,14,FAA,Departamental,"MANINI STRATTA, Guido",7001,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,15,FAA,Departamental,"MANINI STRATTA, Guido",456,5
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,15,FAA,Departamental,"MANINI STRATTA, Guido",7001,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,16,FAA,Departamental,"MANINI STRATTA, Guido",456,3
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,16,FAA,Departamental,"MANINI STRATTA, Guido",7001,2
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,17,FAA,Departamental,"MANINI STRATTA, Guido",456,2
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,18,FAA,Departamental,"MANINI STRATTA, Guido",456,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,19,FAA,Departamental,"MANINI STRATTA, Guido",456,3
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,20,FAA,Departamental,"MANINI STRATTA, Guido",456,3
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,22,FAA,Departamental,"MANINI STRATTA, Guido",456,2
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,24,FAA,Departamental,"MANINI STRATTA, Guido",456,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,25,FAA,Departamental,"MANINI STRATTA, Guido",456,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,26,FAA,Departamental,"MANINI STRATTA, Guido",456,2
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,28,FAA,Departamental,"MANINI STRATTA, Guido",288,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,28,FAA,Departamental,"MANINI STRATTA, Guido",456,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,29,FAA,Departamental,"MANINI STRATTA, Guido",288,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,29,FAA,Departamental,"MANINI STRATTA, Guido",456,2
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,31,FAA,Departamental,"MANINI STRATTA, Guido",456,2
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,31,FAA,Departamental,"MANINI STRATTA, Guido",7001,1
2024-06-30,Cabildo_Abierto_O.D.N.,Treinta y Tres,32,FAA,Departamental,"MANINI STRATTA, Guido",456,1
