ACTO,CONVOCATORIA,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,11,DAA,Departamental,1326,3
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,12,DAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,14,DAA,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,24,DAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,70,DAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,76,DAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,83,DAA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,139,DAB,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,154,DAC,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,181,DAF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,206,DAH,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,216,DAH,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,223,DAJ,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,224,DAJ,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,234,DBA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,235,DBA,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,236,DBA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,238,DBA,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,241,DBA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,242,DBA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,243,DBA,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,244,DBA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,245,DBA,Departamental,1326,3
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,246,DBA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,248,DBA,Departamental,1326,4
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,249,DBA,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,250,DBA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,251,DBA,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,252,DBA,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,253,DBA,Departamental,1326,3
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,254,DBA,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,257,DBA,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Maldonado,258,DBA,Departamental,1326,1
