PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS
Asamblea Popular,Maldonado,11,DAA,Departamental,1326,3
Asamblea Popular,Maldonado,12,DAA,Departamental,1326,1
Asamblea Popular,Maldonado,14,DAA,Departamental,1326,2
Asamblea Popular,Maldonado,24,DAA,Departamental,1326,1
Asamblea Popular,Maldonado,70,DAA,Departamental,1326,1
Asamblea Popular,Maldonado,76,DAA,Departamental,1326,1
Asamblea Popular,Maldonado,83,DAA,Departamental,1326,1
Asamblea Popular,Maldonado,139,DAB,Departamental,11917,1
Asamblea Popular,Maldonado,154,DAC,Departamental,1326,1
Asamblea Popular,Maldonado,181,DAF,Departamental,1326,1
Asamblea Popular,Maldonado,206,DAH,Departamental,1326,1
Asamblea Popular,Maldonado,216,DAH,Departamental,1326,1
Asamblea Popular,Maldonado,223,DAJ,Departamental,1326,1
Asamblea Popular,Maldonado,224,DAJ,Departamental,1326,1
Asamblea Popular,Maldonado,234,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,235,DBA,Departamental,1326,2
Asamblea Popular,Maldonado,236,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,238,DBA,Departamental,1326,2
Asamblea Popular,Maldonado,241,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,242,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,243,DBA,Departamental,1326,2
Asamblea Popular,Maldonado,244,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,245,DBA,Departamental,1326,3
Asamblea Popular,Maldonado,246,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,248,DBA,Departamental,1326,4
Asamblea Popular,Maldonado,249,DBA,Departamental,1326,2
Asamblea Popular,Maldonado,250,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,251,DBA,Departamental,1326,2
Asamblea Popular,Maldonado,252,DBA,Departamental,1326,2
Asamblea Popular,Maldonado,253,DBA,Departamental,1326,3
Asamblea Popular,Maldonado,254,DBA,Departamental,1326,2
Asamblea Popular,Maldonado,257,DBA,Departamental,1326,2
Asamblea Popular,Maldonado,258,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,259,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,260,DBA,Departamental,1326,2
Asamblea Popular,Maldonado,262,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,263,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,264,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,265,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,267,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,272,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,273,DBA,Departamental,1326,3
Asamblea Popular,Maldonado,275,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,276,DBA,Departamental,1326,1
Asamblea Popular,Maldonado,279,DBD,Departamental,1326,1
Asamblea Popular,Maldonado,283,DBE,Departamental,1326,1
Asamblea Popular,Maldonado,284,DBE,Departamental,1326,2
Asamblea Popular,Maldonado,286,DBE,Departamental,1326,1
Asamblea Popular,Maldonado,287,DBF,Departamental,1326,1
Asamblea Popular,Maldonado,288,DBF,Departamental,1326,1
Asamblea Popular,Maldonado,289,DBF,Departamental,1326,1
Asamblea Popular,Maldonado,290,DBF,Departamental,1326,1
Asamblea Popular,Maldonado,292,DBG,Departamental,1326,1
Asamblea Popular,Maldonado,294,DBG,Departamental,1326,1
Asamblea Popular,Maldonado,309,DCA,Departamental,1326,1
Asamblea Popular,Maldonado,320,DCB,Departamental,1326,1
Asamblea Popular,Maldonado,320,DCB,Departamental,11917,1
Asamblea Popular,Maldonado,322,DCB,Departamental,11917,1
