PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS
Asamblea Popular,Montevideo,1,AAA,Departamental,969,1
Asamblea Popular,Montevideo,6,AAA,Departamental,9600,1
Asamblea Popular,Montevideo,7,AAA,Departamental,1326,1
Asamblea Popular,Montevideo,11,AAA,Departamental,1326,1
Asamblea Popular,Montevideo,13,AAA,Departamental,1326,2
Asamblea Popular,Montevideo,14,AAA,Departamental,1326,1
Asamblea Popular,Montevideo,25,ACA,Departamental,9600,1
Asamblea Popular,Montevideo,27,ACA,Departamental,1326,1
Asamblea Popular,Montevideo,29,ACA,Departamental,11917,1
Asamblea Popular,Montevideo,30,ACA,Departamental,969,1
Asamblea Popular,Montevideo,36,ADA,Departamental,1326,1
Asamblea Popular,Montevideo,40,AEB,Departamental,1326,1
Asamblea Popular,Montevideo,41,AFA,Departamental,1326,1
Asamblea Popular,Montevideo,45,AGB,Departamental,1326,1
Asamblea Popular,Montevideo,46,AHA,Departamental,9600,2
Asamblea Popular,Montevideo,47,AHA,Departamental,1326,1
Asamblea Popular,Montevideo,48,AHA AHB,Departamental,9600,1
Asamblea Popular,Montevideo,54,AIA,Departamental,1326,1
Asamblea Popular,Montevideo,63,AIA,Departamental,1326,1
Asamblea Popular,Montevideo,64,AIA,Departamental,1326,1
Asamblea Popular,Montevideo,68,AIA,Departamental,1326,1
Asamblea Popular,Montevideo,75,AKA,Departamental,1326,1
Asamblea Popular,Montevideo,76,AKA,Departamental,1326,1
Asamblea Popular,Montevideo,76,AKA,Departamental,9600,1
Asamblea Popular,Montevideo,81,AKA,Departamental,969,1
Asamblea Popular,Montevideo,82,AKA,Departamental,1326,1
Asamblea Popular,Montevideo,87,AKA,Departamental,1326,1
Asamblea Popular,Montevideo,88,AKA,Departamental,9600,2
Asamblea Popular,Montevideo,91,AKA,Departamental,1326,2
Asamblea Popular,Montevideo,93,AKA,Departamental,1326,1
Asamblea Popular,Montevideo,95,AKA,Departamental,1326,1
Asamblea Popular,Montevideo,104,AKA,Departamental,1326,1
Asamblea Popular,Montevideo,106,AKB,Departamental,9600,1
Asamblea Popular,Montevideo,107,AKB,Departamental,1326,1
Asamblea Popular,Montevideo,108,ALA,Departamental,1326,1
Asamblea Popular,Montevideo,110,ALA ALB,Departamental,1326,1
Asamblea Popular,Montevideo,111,ALB,Departamental,11917,1
Asamblea Popular,Montevideo,113,AMA,Departamental,969,1
Asamblea Popular,Montevideo,113,AMA,Departamental,1326,1
Asamblea Popular,Montevideo,113,AMA,Departamental,11917,1
